,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
52,Zydus Lifesciences,4.0,5.1k, 10k-50k Employees , Public , 72 years old , Ahmedabad +148 more
53,Amazon Development Centre India,4.0,5.1k, 10k-50k Employees , Hyderabad / Secunderabad +76 more,,
54,Delhivery,3.9,5.1k, 10k-50k Employees , Fortune India 500 , 13 years old , Delhi +617 more
55,JP Morgan Chase,4.1,5k, 50k-1 Lakh Employees , Forbes Global 2000 , 24 years old , New York +31 more
56,Hindustan Unilever,4.2,4.9k, 10k-50k Employees , Public , 152 years old , London +419 more
57,FIS,3.9,4.9k, 10k-50k Employees , 56 years old , Jacksonville +46 more,
58,IIFL Finance,3.9,4.7k, 10k-50k Employees , Public , 29 years old , Mumbai +656 more
59,Hexaware Technologies,3.6,4.7k, 10k-50k Employees , Fortune India 500 , 34 years old , Mumbai +44 more
60,JSW Steel,3.9,4.7k, 10k-50k Employees , Public , 42 years old , Mumbai +141 more
61,Sun Pharmaceutical Industries,4.1,4.6k, 10k-50k Employees , Public , 41 years old , Mumbai +196 more
62,Ujjivan Small Finance Bank,4.0,4.5k, 10k-50k Employees , Public , 7 years old , Bangalore/Bengaluru +437 more
63,Muthoot Finance,3.5,4.4k, 10k-50k Employees , Public , 85 years old , Kochi/Cochin +627 more
64,Max Life Insurance,4.1,4.4k, 10k-50k Employees , 24 years old , Gurgaon/Gurugram +391 more,
65,Aurobindo Pharma,3.9,4.4k, 10k-50k Employees , Public , 38 years old , Hyderabad/Secunderabad +90 more
66,Tata Projects,4.2,4.4k, 5k-10k Employees , Public , 45 years old , Mumbai +235 more
67,KPMG India,3.6,4.4k, 10k-50k Employees , 37 years old , Bangalore / Bengaluru +76 more,
68,Home Credit Finance,4.0,4.3k, 10k-50k Employees , 12 years old , Gurugram +114 more,
69,Shapoorji Pallonji Group,4.1,4.3k, 5k-10k Employees , Conglomerate , 159 years old , Mumbai +159 more
70,Oracle,3.8,4.3k, 50k-1 Lakh Employees , Public , 47 years old , Austin +46 more
71,L&T Construction,4.0,4.3k, 5k-10k Employees , Public , 80 years old , Chennai +339 more
72,OPPO,3.9,4.3k, 10k-50k Employees , Public , 20 years old , Dongguan +370 more
73,eClerx,3.3,4.3k, 10k-50k Employees , Public , 24 years old , Mumbai +17 more
74,Apollo Hospitals,4.1,4.2k, 10k-50k Employees , Public , 41 years old , Chennai +183 more
75,Ashok Leyland,4.1,4.2k, 5k-10k Employees , Public , 76 years old , Chennai +206 more
76,Siemens,4.2,4.2k, 5k-10k Employees , Public , 177 years old , Munich +127 more
77,JLL,4.2,4.2k, 10k-50k Employees , Forbes Global 2000 , 27 years old , Mumbai +67 more
78,Omega Healthcare,3.7,4.1k, 10k-50k Employees , 21 years old , Florida +45 more,
79,Vivo,4.0,4.1k, 5k-10k Employees , Conglomerate , 15 years old , Gurgaon/Gurugram +374 more
80,Megha Engineering & Infrastructures,3.9,4.1k, 5k-10k Employees , Conglomerate , 35 years old , Hyderabad/Secunderabad +293 more
81,JustDial,3.5,4.1k, 10k-50k Employees , Public , 28 years old , Mumbai +178 more
82,First Source,3.7,4.1k, 10k-50k Employees , Public , 23 years old , Mumbai +53 more
83,Hero MotoCorp,4.1,4k, 5k-10k Employees , Public , 40 years old , Gurgaon/Gurugram +312 more
84,Bajaj Allianz Life Insurance,4.1,4k, 10k-50k Employees , 23 years old , Pune +500 more,
85,Mahindra & Mahindra Financial Services,4.3,4k, 10k-50k Employees , Public , 33 years old , Mumbai +634 more
